time_increment,realtime,machine[3].lat,machine[3].lng,machine[3].technical_data.engine_revolutions,machine[3].technical_data.fuel_consumption,machine[3].technical_data.vehicle_payload
148,19:58.0,51.3958866,8.26319056,1500.5,6.45,4484
149,20:00.0,51.395889,8.263197544,1499.5,7.15,4484
150,20:02.0,51.39588774,8.263220957,1497.625,9.5,4484
151,20:04.0,51.39588785,8.263237686,1496.625,12.95,4484
152,20:06.0,51.39588502,8.263242293,1496.625,16.5,4484
153,20:08.0,51.39588381,8.263254865,1496.875,15.65,4484
154,20:10.0,51.39588995,8.263287506,1495.875,16,4484
155,20:12.0,51.39588941,8.263291995,1495.5,16.8,4484
156,20:14.0,51.39588725,8.263293966,1496.5,17.6,4484
157,20:16.0,51.39588249,8.263294043,1497,17.3,4484
158,20:18.0,51.39588044,8.263296342,1496.125,17.45,4484
159,20:20.0,51.39588028,8.263301789,1495.5,18.1,4484
160,20:22.0,51.39588704,8.263336055,1494.375,19.3,4484
161,20:24.0,51.3958866,8.263341231,1494.875,19.35,4484
162,20:26.0,51.39588471,8.263344194,1495.375,20.05,4484
163,20:28.0,51.39588186,8.263345761,1495.75,19.45,4484
164,20:30.0,51.39587745,8.263352195,1496.375,19.5,4484
165,20:32.0,51.39587606,8.263363644,1496.625,20.7,4484
166,20:34.0,51.39588229,8.263412671,1496.5,22,4484
167,20:36.0,51.39588879,8.263440204,1496.375,22.05,4484
168,20:38.0,51.39588885,8.26344559,1496.375,22.65,4484
169,20:40.0,51.39588727,8.263449091,1497,22.7,4484
170,20:42.0,51.39588253,8.263452209,1497.625,23.35,4484
171,20:44.0,51.39588163,8.263459828,1498.375,23.45,4484
172,20:46.0,51.39588464,8.263484114,1499.25,23.5,4484
173,20:48.0,51.39588183,8.263491762,1499.5,22.95,4484
174,20:50.0,51.39588069,8.26350255,1499.75,23.5,4484
175,20:52.0,51.39588199,8.263517614,1499.75,23.6,4484
176,20:54.0,51.39588493,8.263531254,1499.375,23,4484
177,20:56.0,51.3958802,8.263534372,1499.875,23.6,4484
178,20:58.0,51.39587846,8.263542888,1501.625,22.9,4484
179,21:00.0,51.39588032,8.263554141,1501.625,21.5,4484
180,21:02.0,51.39588416,8.263560163,1502.875,18.7,4484
181,21:04.0,51.39588704,8.263575798,1502.375,17.2,4484
182,21:06.0,51.39588441,8.263599701,1502.375,15.75,4484
183,21:08.0,51.39588069,8.263613448,1502.625,13.65,4484
184,21:10.0,51.39587961,8.263625464,1502.375,11.55,4484
185,21:12.0,51.39588082,8.263633217,1502.875,10.1,4484
186,21:14.0,51.39588466,8.263639238,1503.75,8.1,4484
187,21:16.0,51.39588505,8.263645096,1504.875,7.4,4484
188,21:18.0,51.39588194,8.263660574,1505.625,7.1,4484
189,21:20.0,51.39588207,8.263681864,1506.375,7.2,4484
190,21:22.0,51.39588498,8.263689422,1504.875,7.85,4484
191,21:24.0,51.39587838,8.263700173,1504.875,7.95,4484
192,21:26.0,51.39588129,8.263707731,1505.75,8,4484
193,21:28.0,51.39588222,8.263704674,1507.25,8.05,4484
194,21:30.0,51.39588229,8.263716839,1506.625,8.05,4484
195,21:32.0,51.39588799,8.263715227,1507.25,8.65,4484
196,21:34.0,51.39589086,8.263707834,1510,9.8,4484
197,21:36.0,51.39589258,8.263687778,1510.375,10.45,4484
198,21:38.0,51.39589367,8.263710574,1509.125,11.15,4484
199,21:40.0,51.39589864,8.263700477,1508.5,11.85,4998
200,21:42.0,51.39590022,8.263692218,1509.5,11.4,4998
201,21:44.0,51.3958959,8.263692606,1510.75,10.35,4998
202,21:46.0,51.39589167,8.263695397,1510,9.8,4998
203,21:48.0,51.39588893,8.263713691,1509.625,9.2,4998
204,21:50.0,51.39588749,8.263697807,1511.375,9.8,4998
205,21:52.0,51.39588596,8.263693968,1509,9.8,5335
206,21:54.0,51.39587934,8.263700158,1504.875,9.75,5335
207,21:56.0,51.39587691,8.263708293,1500,10.4,5335
208,21:58.0,51.39587658,8.26371541,1496,12.1,5335
209,22:00.0,51.39588066,8.263714147,1491,13.45,5335
210,22:02.0,51.39588699,8.263707639,1483.875,13.6,5335
211,22:04.0,51.39589075,8.263699974,1476.625,13.85,5335
212,22:06.0,51.39588879,8.263690881,1470.125,15.25,5335
213,22:08.0,51.39588792,8.263703062,1458.375,17.85,5335
